ticker,symbol,tier,side,requestedNotional,requestedQty,predictedQty,depthQty,predictedPrice,depthPrice,priceErrorBps,predictedCoveragePct,depthCoveragePct,depthShortfallBps
SQQQ,RSQQQUSDT,D,buy,500,12.661433274246644,12.661433274246644,0,39.491974500000005,,,100,0,
SQQQ,RSQQQUSDT,D,sell,25,0.6332320162107397,0.6332320162107397,0,39.479901299999995,,,100,0,
SQQQ,RSQQQUSDT,D,sell,100,2.5329280648429586,2.5329280648429586,0,39.4796052,,,100,0,
SQQQ,RSQQQUSDT,D,sell,500,12.664640324214794,12.664640324214794,0,39.478026,,,100,0,
TQQQ,RTQQQUSDT,D,buy,25,0.33288948069241014,0.33288948069241014,0,75.10018774999999,,,100,0,
TQQQ,RTQQQUSDT,D,buy,100,1.3315579227696406,1.3315579227696406,0,75.100751,,,100,0,
TQQQ,RTQQQUSDT,D,buy,500,6.657789613848203,6.657789613848203,0,75.103755,,,100,0,
TQQQ,RTQQQUSDT,D,sell,25,0.3329338127580237,0.3329338127580237,0,75.089812275,,,100,0,
TQQQ,RTQQQUSDT,D,sell,100,1.3317352510320948,1.3317352510320948,0,75.0892491,,,100,0,
TQQQ,RTQQQUSDT,D,sell,500,6.658676255160474,6.658676255160474,0,75.0862455,,,100,0,
PLTR,RPLTRUSDT,D,buy,25,0.21931748398982367,0.21931748398982367,0,113.99028497499998,,,100,0,
PLTR,RPLTRUSDT,D,buy,100,0.8772699359592947,0.8772699359592947,0,113.99113990000001,,,100,0,
PLTR,RPLTRUSDT,D,buy,500,4.386349679796473,4.386349679796473,0,113.9956995,,,100,0,
PLTR,RPLTRUSDT,D,sell,25,0.2193752193752194,0.2193752193752194,0,113.9597151,,,100,0,
PLTR,RPLTRUSDT,D,sell,100,0.8775008775008776,0.8775008775008776,0,113.95886039999999,,,100,0,
PLTR,RPLTRUSDT,D,sell,500,4.3875043875043875,4.3875043875043875,0,113.954302,,,100,0,
CRCL,RCRCLUSDT,D,buy,25,0.34501794093292854,0.34501794093292854,0,72.46018114999998,,,100,0,
CRCL,RCRCLUSDT,D,buy,100,1.3800717637317141,1.3800717637317141,0,72.46072459999999,,,100,0,
CRCL,RCRCLUSDT,D,buy,500,6.900358818658571,6.900358818658571,0,72.463623,,,100,0,
CRCL,RCRCLUSDT,D,sell,25,0.34544700842890697,0.34544700842890697,0,72.36981907500001,,,100,0,
CRCL,RCRCLUSDT,D,sell,100,1.3817880337156279,1.3817880337156279,0,72.36927630000001,,,100,0,
CRCL,RCRCLUSDT,D,sell,500,6.908940168578139,6.908940168578139,0,72.3663815,,,100,0,
HOOD,RHOODUSDT,D,buy,25,0.250928435210278,0.250928435210278,0,99.63024907499998,,,100,0,
HOOD,RHOODUSDT,D,buy,100,1.003713740841112,1.003713740841112,0,99.6309963,,,100,0,
HOOD,RHOODUSDT,D,buy,500,5.018568704205561,5.018568704205561,0,99.63498150000001,,,100,0,
HOOD,RHOODUSDT,D,sell,25,0.25097881738781247,0.25097881738781247,0,99.609750975,,,100,0,
HOOD,RHOODUSDT,D,sell,100,1.0039152695512499,1.0039152695512499,0,99.6090039,,,100,0,
HOOD,RHOODUSDT,D,sell,500,5.019576347756249,5.019576347756249,0,99.6050195,,,100,0,
MSTR,RMSTRUSDT,D,buy,25,0.2591479216336685,0.2591479216336685,0,96.47024117499998,,,100,0,
MSTR,RMSTRUSDT,D,buy,100,1.036591686534674,1.036591686534674,0,96.47096470000001,,,100,0,
MSTR,RMSTRUSDT,D,buy,500,5.18295843267337,2,0,96.47186129218,,,38.588,0,
MSTR,RMSTRUSDT,D,sell,25,0.2593092002904263,0.2593092002904263,0,96.40975897499999,,,100,0,
MSTR,RMSTRUSDT,D,sell,100,1.0372368011617052,1.0372368011617052,0,96.4090359,,,100,0,
MSTR,RMSTRUSDT,D,sell,500,5.186184005808526,5.186184005808526,0,96.4051795,,,100,0,
ORCL,RORCLUSDT,D,buy,25,0.15812776723592664,0.15812776723592664,0,158.10039525,,,100,0,
ORCL,RORCLUSDT,D,buy,100,0.6325110689437066,0.6325110689437066,0,158.101581,,,100,0,
ORCL,RORCLUSDT,D,buy,500,3.1625553447185326,3.1625553447185326,0,158.10790500000002,,,100,0,
ORCL,RORCLUSDT,D,sell,25,0.15816778438567633,0.15816778438567633,0,158.05960485,,,100,0,
ORCL,RORCLUSDT,D,sell,100,0.6326711375427053,0.6326711375427053,0,158.05841940000002,,,100,0,
ORCL,RORCLUSDT,D,sell,500,3.1633556877135263,1,0,158.05750170364,,,31.612000000000002,0,
NFLX,RNFLXUSDT,D,buy,25,0.3469812630117974,0.3469812630117974,0,72.050180125,,,100,0,
NFLX,RNFLXUSDT,D,buy,100,1.3879250520471895,1.3879250520471895,0,72.0507205,,,100,0,
NFLX,RNFLXUSDT,D,buy,500,6.939625260235948,6.939625260235948,0,72.05360250000001,,,100,0,
NFLX,RNFLXUSDT,D,sell,25,0.34702942809550247,0.34702942809550247,0,72.03981990000001,,,100,0,
NFLX,RNFLXUSDT,D,sell,100,1.3881177123820099,1.3881177123820099,0,72.03927960000001,,,100,0,
NFLX,RNFLXUSDT,D,sell,500,6.940588561910049,6.940588561910049,0,72.036398,,,100,0,
BABA,RBABAUSDT,D,buy,25,0.2471088267272907,0.2471088267272907,0,101.17025292499999,,,100,0,
BABA,RBABAUSDT,D,buy,100,0.9884353069091628,0.9884353069091628,0,101.17101170000001,,,100,0,
BABA,RBABAUSDT,D,buy,500,4.942176534545814,4.942176534545814,0,101.1750585,,,100,0,
BABA,RBABAUSDT,D,sell,25,0.24718212378880758,0.24718212378880758,0,101.13974715,,,100,0,
BABA,RBABAUSDT,D,sell,100,0.9887284951552303,0.9887284951552303,0,101.1389886,,,100,0,
BABA,RBABAUSDT,D,sell,500,4.9436424757761515,4.9436424757761515,0,101.134943,,,100,0,
GME,RGMEUSDT,D,buy,25,1.1665888940737283,1.1665888940737283,0,21.430053575,,,100,0,
GME,RGMEUSDT,D,buy,100,4.666355576294913,4.666355576294913,0,21.4302143,,,100,0,
GME,RGMEUSDT,D,buy,500,23.33177788147457,23.33177788147457,0,21.4310715,,,100,0,
GME,RGMEUSDT,D,sell,25,1.1671335200746964,1.1671335200746964,0,21.41994645,,,100,0,
GME,RGMEUSDT,D,sell,100,4.668534080298786,4.668534080298786,0,21.419785800000003,,,100,0,
GME,RGMEUSDT,D,sell,500,23.34267040149393,8,0,21.419632946880004,,,34.272000000000006,0,
