config_id,source,direction,sessions,active_sessions,positive_sessions,total_pnl,avg_pnl,median_pnl,worst_pnl,max_drawdown,total_trades,total_wins,total_losses,win_rate,stability_score,robustness_score,overfit_verdict,rejection_reason
equity_gap_fade_e0p35_x0p1_tp2_sl0p75_h9999_n0p5_m8,equity_gap,fade,5,4,1,-20.700614,-4.140123,-1.318385,-18.123778,21.276144,30,8,22,0.266667,47.416825,0,REJECT,NON_POSITIVE_TOTAL_PNL|WORST_SESSION_LOSS_GT_5_USDT|DRAWDOWN_TOO_LARGE_VS_PNL|LOW_ACTIVE_SESSION_HIT_RATE
equity_gap_fade_e0p75_x0p1_tp1p25_sl0p75_h9999_n0p5_m2,equity_gap,fade,5,4,0,-20.843416,-4.168683,-2.940735,-9.097293,13.658929,13,5,8,0.384615,44.719056,0,REJECT,NON_POSITIVE_TOTAL_PNL|WORST_SESSION_LOSS_GT_5_USDT|LOW_ACTIVE_SESSION_HIT_RATE
equity_gap_fade_e0p75_x0p1_tp1p25_sl0p75_h9999_n0p5_m5,equity_gap,fade,5,4,0,-20.843416,-4.168683,-2.940735,-9.097293,13.658929,13,5,8,0.384615,44.719056,0,REJECT,NON_POSITIVE_TOTAL_PNL|WORST_SESSION_LOSS_GT_5_USDT|LOW_ACTIVE_SESSION_HIT_RATE
equity_gap_fade_e0p75_x0p1_tp1p25_sl0p75_h9999_n0p5_m8,equity_gap,fade,5,4,0,-20.843416,-4.168683,-2.940735,-9.097293,13.658929,13,5,8,0.384615,44.719056,0,REJECT,NON_POSITIVE_TOTAL_PNL|WORST_SESSION_LOSS_GT_5_USDT|LOW_ACTIVE_SESSION_HIT_RATE
equity_gap_fade_e0p75_x0p1_tp2_sl0p75_h9999_n0p5_m2,equity_gap,fade,5,4,0,-20.843416,-4.168683,-2.940735,-9.097293,13.658929,13,5,8,0.384615,44.719056,0,REJECT,NON_POSITIVE_TOTAL_PNL|WORST_SESSION_LOSS_GT_5_USDT|LOW_ACTIVE_SESSION_HIT_RATE
equity_gap_fade_e0p75_x0p1_tp2_sl0p75_h9999_n0p5_m5,equity_gap,fade,5,4,0,-20.843416,-4.168683,-2.940735,-9.097293,13.658929,13,5,8,0.384615,44.719056,0,REJECT,NON_POSITIVE_TOTAL_PNL|WORST_SESSION_LOSS_GT_5_USDT|LOW_ACTIVE_SESSION_HIT_RATE
equity_gap_fade_e0p75_x0p1_tp2_sl0p75_h9999_n0p5_m8,equity_gap,fade,5,4,0,-20.843416,-4.168683,-2.940735,-9.097293,13.658929,13,5,8,0.384615,44.719056,0,REJECT,NON_POSITIVE_TOTAL_PNL|WORST_SESSION_LOSS_GT_5_USDT|LOW_ACTIVE_SESSION_HIT_RATE
equity_gap_momentum_e0p5_x0p1_tp2_sl1p25_h9999_n0p2_m5,equity_gap,momentum,5,4,1,-20.881023,-4.176205,-0.34489,-17.98948,23.2921,51,18,33,0.352941,47.342471,0,REJECT,NON_POSITIVE_TOTAL_PNL|WORST_SESSION_LOSS_GT_5_USDT|DRAWDOWN_TOO_LARGE_VS_PNL|LOW_ACTIVE_SESSION_HIT_RATE
equity_gap_momentum_e0p5_x0p1_tp2_sl1p25_h9999_n0p2_m8,equity_gap,momentum,5,4,1,-20.881023,-4.176205,-0.34489,-17.98948,23.2921,51,18,33,0.352941,47.342471,0,REJECT,NON_POSITIVE_TOTAL_PNL|WORST_SESSION_LOSS_GT_5_USDT|DRAWDOWN_TOO_LARGE_VS_PNL|LOW_ACTIVE_SESSION_HIT_RATE
equity_gap_momentum_e0p5_x0p1_tp2_sl2p5_h9999_n0p2_m5,equity_gap,momentum,5,4,1,-20.881023,-4.176205,-0.34489,-17.98948,23.2921,51,18,33,0.352941,47.342471,0,REJECT,NON_POSITIVE_TOTAL_PNL|WORST_SESSION_LOSS_GT_5_USDT|DRAWDOWN_TOO_LARGE_VS_PNL|LOW_ACTIVE_SESSION_HIT_RATE
equity_gap_momentum_e0p5_x0p1_tp2_sl2p5_h9999_n0p2_m8,equity_gap,momentum,5,4,1,-20.881023,-4.176205,-0.34489,-17.98948,23.2921,51,18,33,0.352941,47.342471,0,REJECT,NON_POSITIVE_TOTAL_PNL|WORST_SESSION_LOSS_GT_5_USDT|DRAWDOWN_TOO_LARGE_VS_PNL|LOW_ACTIVE_SESSION_HIT_RATE
equity_gap_fade_e0p75_x0p1_tp0p75_sl0p75_h9999_n0p5_m2,equity_gap,fade,5,4,0,-20.930331,-4.186066,-4.364869,-7.760074,12.095156,17,7,10,0.411765,44.047083,0,REJECT,NON_POSITIVE_TOTAL_PNL|WORST_SESSION_LOSS_GT_5_USDT|LOW_ACTIVE_SESSION_HIT_RATE
equity_gap_fade_e0p75_x0p1_tp0p75_sl0p75_h9999_n0p5_m5,equity_gap,fade,5,4,0,-20.930331,-4.186066,-4.364869,-7.760074,12.095156,17,7,10,0.411765,44.047083,0,REJECT,NON_POSITIVE_TOTAL_PNL|WORST_SESSION_LOSS_GT_5_USDT|LOW_ACTIVE_SESSION_HIT_RATE
equity_gap_fade_e0p75_x0p1_tp0p75_sl0p75_h9999_n0p5_m8,equity_gap,fade,5,4,0,-20.930331,-4.186066,-4.364869,-7.760074,12.095156,17,7,10,0.411765,44.047083,0,REJECT,NON_POSITIVE_TOTAL_PNL|WORST_SESSION_LOSS_GT_5_USDT|LOW_ACTIVE_SESSION_HIT_RATE
